,n,p,d,seed,method,Coverage
526,1000,40,3,3,Sandwich,0.8916666666666667
527,1000,40,3,3,Variational Fisher,1.0
528,1000,40,3,4,Sandwich,0.7666666666666667
529,1000,40,3,4,Variational Fisher,1.0
530,1000,40,3,5,Sandwich,0.8416666666666667
531,1000,40,3,5,Variational Fisher,1.0
532,1000,40,3,6,Sandwich,0.7166666666666667
533,1000,40,3,6,Variational Fisher,1.0
534,1000,40,3,7,Sandwich,0.8416666666666667
535,1000,40,3,7,Variational Fisher,1.0
536,1000,40,3,8,Sandwich,0.9166666666666666
537,1000,40,3,8,Variational Fisher,1.0
538,1000,40,3,9,Sandwich,0.775
539,1000,40,3,9,Variational Fisher,1.0
